id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
1,2026-05-23 17:51:38.380453+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,EL Carmen,105.0,,POINT(-65.25 -24.3833)
2,2026-05-23 17:51:38.380453+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Fraile Pintado,120.0,,POINT(-64.8023369 -23.9425671)
3,2026-05-23 17:51:38.380453+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Santa Clara,155.0,,POINT(-64.6619555 -24.3100735)
4,2025-03-16 17:08:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Ciudad de Buenos Aires,Unknown,1.0,,POINT(-58.527325 -34.645194)
5,2024-02-27 17:34:28+00:00,Spodoptera frugiperda,Present,iNaturalist,Entre Ríos,Unknown,1.0,,POINT(-58.513403 -33.010308)
6,2024-03-16 15:11:38+00:00,Spodoptera frugiperda,Present,iNaturalist,Ciudad de Buenos Aires,Unknown,1.0,,POINT(-58.476699 -34.579202)
7,2024-03-18 00:25:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Buenos Aires,Unknown,1.0,,POINT(-58.340589 -34.711002)
8,2024-05-07 01:16:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Misiones,Unknown,1.0,,POINT(-54.142124 -25.53682)
9,2025-04-15 03:00:00+00:00,Dalbulus maidis,Official Alert (Confirmed Survival),SENASA (SINAVIMO),Córdoba,Córdoba Capital,45.0,8.5,POINT(-64.1833 -31.4167)
10,2025-05-02 03:00:00+00:00,Spodoptera frugiperda,Official Alert,SENASA (SINAVIMO),Santa Fe,Rosario,12.0,,POINT(-60.6393 -32.9468)
11,2025-05-10 03:00:00+00:00,Dalbulus maidis,Official Alert (Confirmed Survival),SENASA (SINAVIMO),Buenos Aires,Escobar,5.0,,POINT(-58.9833 -34.3667)
12,2026-05-23 17:55:42.874515+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,EL Carmen,105.0,,POINT(-65.25 -24.3833)
13,2026-05-23 17:55:42.874515+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Fraile Pintado,120.0,,POINT(-64.8023369 -23.9425671)
14,2026-05-23 17:55:42.874515+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Santa Clara,155.0,,POINT(-64.6619555 -24.3100735)
15,2025-03-16 17:08:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Ciudad de Buenos Aires,Unknown,1.0,,POINT(-58.527325 -34.645194)
16,2024-02-27 17:34:28+00:00,Spodoptera frugiperda,Present,iNaturalist,Entre Ríos,Unknown,1.0,,POINT(-58.513403 -33.010308)
17,2024-03-16 15:11:38+00:00,Spodoptera frugiperda,Present,iNaturalist,Ciudad de Buenos Aires,Unknown,1.0,,POINT(-58.476699 -34.579202)
18,2024-03-18 00:25:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Buenos Aires,Unknown,1.0,,POINT(-58.340589 -34.711002)
19,2024-05-07 01:16:00+00:00,Spodoptera frugiperda,Present,iNaturalist,Misiones,Unknown,1.0,,POINT(-54.142124 -25.53682)
20,2025-04-15 03:00:00+00:00,Dalbulus maidis,Official Alert (Confirmed Survival),SENASA (SINAVIMO),Córdoba,Córdoba Capital,45.0,8.5,POINT(-64.1833 -31.4167)
21,2025-05-02 03:00:00+00:00,Spodoptera frugiperda,Official Alert,SENASA (SINAVIMO),Santa Fe,Rosario,12.0,,POINT(-60.6393 -32.9468)
22,2025-05-10 03:00:00+00:00,Dalbulus maidis,Official Alert (Confirmed Survival),SENASA (SINAVIMO),Buenos Aires,Escobar,5.0,,POINT(-58.9833 -34.3667)
23,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,EL Carmen,105.0,,POINT(-65.25 -24.3833)
24,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Fraile Pintado,120.0,,POINT(-64.8023369 -23.9425671)
25,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,CREA,Jujuy,Santa Clara,155.0,,POINT(-64.6619555 -24.3100735)
26,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,INTA,Jujuy,El Bananal,2865.0,,POINT(-65.2230287 -24.2780584)
27,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,AAPPCE,Salta,Agua Sucia,202.0,,POINT(-63.897824 -24.4245161)
28,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,AAPPCE,Salta,Rio Piedras,172.0,,POINT(-64.9103052 -25.3142011)
29,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,Explosive,AAPRESID,Salta,Rivadavia,627.0,,POINT(-62.8101767 -23.6194992)
30,2026-05-23 17:56:13.222504+00:00,Dalbulus maidis,High,AAPRESID,Salta,Piquete Cabado 1,45.0,,POINT(-64.1779238 -24.8199213)
